Airline,Source,Destination,Total_Stops,Price,Journey_day,Journey_month,Journey_year,hours,minutes,Arrival_hour,Arrival_min,duration_mins,duration_hours
Jet Airways,Mumbai,Hyderabad,2.0,23528,12,3,2019,6,30,16,35,5,10
Jet Airways,Delhi,Cochin,1.0,12373,9,5,2019,11,30,12,35,5,25
SpiceJet,Delhi,Cochin,1.0,5583,24,4,2019,15,45,22,5,20,6
Multiple carriers,Delhi,Cochin,1.0,7695,21,3,2019,12,50,1,35,45,12
Air India,Delhi,Cochin,2.0,11972,24,6,2019,17,15,19,15,0,26
SpiceJet,Kolkata,Banglore,0.0,3873,9,4,2019,17,10,19,40,30,2
Vistara,Banglore,Delhi,0.0,5403,3,4,2019,9,45,12,35,50,2
IndiGo,Kolkata,Banglore,0.0,4804,15,6,2019,22,15,0,50,35,2
IndiGo,Mumbai,Hyderabad,0.0,4049,9,6,2019,6,25,7,55,30,1
SpiceJet,Kolkata,Banglore,0.0,5515,1,3,2019,17,15,19,45,30,2
Jet Airways,Kolkata,Banglore,1.0,11467,15,5,2019,17,0,14,25,25,21
Jet Airways,Kolkata,Banglore,1.0,7757,9,5,2019,20,0,18,15,15,22
Vistara,Kolkata,Banglore,1.0,9345,24,5,2019,20,20,23,25,5,27
Jet Airways,Delhi,Cochin,2.0,13292,12,6,2019,5,30,4,25,55,22
SpiceJet,Kolkata,Banglore,0.0,3841,24,6,2019,22,20,0,40,20,2
SpiceJet,Kolkata,Banglore,0.0,3841,15,6,2019,9,0,11,25,25,2
IndiGo,Banglore,Delhi,0.0,4823,27,6,2019,7,10,10,5,55,2
Air India,Delhi,Cochin,0.0,5674,21,3,2019,18,5,21,10,5,3
Jet Airways,Delhi,Cochin,2.0,15339,27,6,2019,23,5,4,25,20,29
Air India,Kolkata,Banglore,2.0,14424,1,5,2019,7,0,5,25,25,22
SpiceJet,Kolkata,Banglore,0.0,4622,9,3,2019,22,20,0,40,20,2
Air India,Delhi,Cochin,1.0,8372,24,6,2019,13,0,19,15,15,6
Jet Airways,Delhi,Cochin,2.0,15129,27,5,2019,13,25,12,35,10,23
Jet Airways,Kolkata,Banglore,1.0,12681,1,4,2019,18,55,8,15,20,13
Air Asia,Delhi,Cochin,1.0,7452,18,5,2019,7,55,22,25,30,14
Jet Airways,Banglore,Delhi,0.0,5769,12,6,2019,8,20,11,20,0,3
Jet Airways,Delhi,Cochin,2.0,11507,12,6,2019,21,25,12,35,10,15
IndiGo,Mumbai,Hyderabad,0.0,2754,15,3,2019,19,5,20,30,25,1
Air India,Delhi,Cochin,1.0,8669,6,6,2019,7,0,19,15,15,12
Jet Airways,Kolkata,Banglore,1.0,14571,24,5,2019,14,5,23,35,30,9
Jet Airways,Kolkata,Banglore,1.0,14151,24,5,2019,20,25,21,5,40,24
IndiGo,Delhi,Cochin,1.0,6412,27,6,2019,14,20,22,30,10,8
Jet Airways,Kolkata,Banglore,1.0,6959,12,6,2019,18,55,4,40,45,9
IndiGo,Banglore,Delhi,0.0,4423,21,4,2019,6,5,8,50,45,2
Jet Airways,Kolkata,Banglore,1.0,11467,1,5,2019,20,25,23,35,10,27
SpiceJet,Chennai,Kolkata,0.0,3597,9,5,2019,9,45,12,0,15,2
