iter	Passed	Remaining
0	5	514
1	10	505
2	14	472
3	20	480
4	24	460
5	29	454
6	33	450
7	38	443
8	43	436
9	46	418
10	52	426
11	57	419
12	61	409
13	66	408
14	70	400
15	74	393
16	78	384
17	85	390
18	92	394
19	98	394
20	104	392
21	109	387
22	114	384
23	118	376
24	124	373
25	130	371
26	137	370
27	143	368
28	148	363
29	152	355
30	159	354
31	163	347
32	172	349
33	177	343
34	181	336
35	186	331
36	191	326
37	195	319
38	200	314
39	205	308
40	209	301
41	213	295
42	220	291
43	224	285
44	229	280
45	234	274
46	238	268
47	242	262
48	251	261
49	255	255
50	259	249
51	264	243
52	268	238
53	272	232
54	279	228
55	284	223
56	288	217
57	293	212
58	297	206
59	302	201
60	307	196
61	312	191
62	316	186
63	321	180
64	325	175
65	330	170
66	334	164
67	339	159
68	343	154
69	347	149
70	352	143
71	357	139
72	362	133
73	366	128
74	371	123
75	377	119
76	382	114
77	387	109
78	392	104
79	396	99
80	400	94
81	404	88
82	409	83
83	416	79
84	420	74
85	425	69
86	430	64
87	438	59
88	445	55
89	453	50
90	458	45
91	462	40
92	466	35
93	471	30
94	478	25
95	482	20
96	488	15
97	494	10
98	501	5
99	507	0
