iter	RMSE
0	4319.728707
1	4063.453326
2	3829.220634
3	3636.704895
4	3446.954992
5	3275.444071
6	3132.719644
7	3002.90595
8	2891.878492
9	2796.444633
10	2713.798631
11	2642.719803
12	2579.874753
13	2529.56448
14	2479.574816
15	2438.593568
16	2404.472535
17	2355.994537
18	2323.510352
19	2288.398584
20	2262.424058
21	2242.59727
22	2217.320366
23	2190.453876
24	2169.832448
25	2151.101388
26	2134.326682
27	2113.877494
28	2088.785454
29	2073.954024
30	2055.921432
31	2040.113054
32	2027.616233
33	2010.155907
34	1996.608147
35	1986.831103
36	1971.434147
37	1959.274657
38	1950.929918
39	1937.920452
40	1927.213381
41	1918.368262
42	1903.578114
43	1887.246982
44	1880.860485
45	1870.935229
46	1858.568822
47	1853.471436
48	1846.192027
49	1839.996919
50	1830.78202
51	1819.660909
52	1814.133664
53	1808.744468
54	1798.496212
55	1790.22683
56	1782.008078
57	1774.991724
58	1767.55196
59	1760.124605
60	1755.083388
61	1748.475161
62	1743.682838
63	1734.33835
64	1730.15097
65	1719.865503
66	1711.531303
67	1702.408242
68	1694.731921
69	1692.150833
70	1685.916393
71	1679.769275
72	1674.309159
73	1668.952718
74	1663.311391
75	1659.646754
76	1652.128279
77	1649.231928
78	1642.061487
79	1636.165101
80	1630.34081
81	1624.761049
82	1621.357105
83	1610.273944
84	1606.543314
85	1602.818561
86	1599.33545
87	1594.357143
88	1586.497586
89	1581.272421
90	1578.762522
91	1575.68388
92	1568.360619
93	1563.6878
94	1559.758379
95	1556.314772
96	1550.943215
97	1548.114802
98	1543.634337
99	1540.797768
