iter	Passed	Remaining
0	4	461
1	8	422
2	12	403
3	16	391
4	20	381
5	23	374
6	27	368
7	31	363
8	35	362
9	39	352
10	42	347
11	46	341
12	50	338
13	54	333
14	58	329
15	62	326
16	65	318
17	68	313
18	72	310
19	76	306
20	80	302
21	84	298
22	89	299
23	93	295
24	97	293
25	101	289
26	106	287
27	111	286
28	116	284
29	122	285
30	128	285
31	134	284
32	138	281
33	142	277
34	148	275
35	152	271
36	156	266
37	161	262
38	166	259
39	169	254
40	174	251
41	179	247
42	184	243
43	189	241
44	194	237
45	199	234
46	205	231
47	210	227
48	214	223
49	218	218
50	223	214
51	227	210
52	231	205
53	235	200
54	239	196
55	244	192
56	249	188
57	254	184
58	258	179
59	262	175
60	268	171
61	272	167
62	276	162
63	281	158
64	284	153
65	289	149
66	293	144
67	297	140
68	301	135
69	306	131
70	310	126
71	315	122
72	318	117
73	324	113
74	328	109
75	332	105
76	336	100
77	341	96
78	345	91
79	349	87
80	354	83
81	358	78
82	364	74
83	369	70
84	373	65
85	378	61
86	382	57
87	388	52
88	393	48
89	398	44
90	404	39
91	408	35
92	414	31
93	419	26
94	423	22
95	428	17
96	433	13
97	437	8
98	442	4
99	447	0
